feature,rf_importance,mutual_info,perm_mean,r_rf,r_mi,r_perm,rank_mean
amount_new_house_transactions_log1p,0.9968110526978099,6.394674553381358,1.9579955825602453,1.0,1.0,1.0,1.0
amount_new_house_transactions_lag3,3.409533965937713e-05,0.49334640929209783,2.6193522018669314e-05,22.0,16.0,21.0,19.666666666666668
retail,4.054202079055784e-05,0.41257223025658396,2.8990236113624056e-05,18.0,34.0,19.0,23.666666666666668
bus_station_cnt,2.3725891299270846e-05,0.43209231138924586,3.1175822428630703e-05,34.0,26.0,18.0,26.0
supply_demand_ratio,2.2578275193491526e-05,0.3945763422566779,3.68130108455933e-05,36.0,41.0,14.0,30.333333333333332
area_new_house_transactions_lag1,1.271221557671547e-05,0.5161461665564921,3.642691099123851e-05,67.0,13.0,15.0,31.666666666666668
medical_health_pharmaceutical_healthcare,5.9453509757889107e-05,0.3890148332294192,1.2199894049835792e-05,13.0,46.0,42.0,33.666666666666664
amount_new_house_transactions_lag3_log1p,2.2483874661696875e-05,0.5018797148504337,9.265905872368752e-06,39.0,15.0,51.0,35.0
transportation_facilities_service_bus_station_dense,2.575726747204438e-05,0.39016004592001297,1.8153822063438074e-05,30.0,43.0,33.0,35.333333333333336
number_of_shops,3.236279879404558e-05,0.39605712976254814,1.1826675960791012e-05,23.0,40.0,43.0,35.333333333333336
supermarket_convenience_stores_dense,2.1365973509187796e-05,0.38177936847561744,3.925795210070193e-05,42.0,57.0,11.0,36.666666666666664
retail_dense,1.9786217461341567e-05,0.3962203866587597,1.383924355671251e-05,44.0,39.0,39.0,40.666666666666664
surrounding_shop_average_rent,2.180300808872585e-05,0.5195645074807222,2.646790977756108e-06,41.0,12.0,77.0,43.333333333333336
surrounding_housing_average_price,1.3639008298120628e-05,0.5120109337723173,7.054169920550634e-06,62.0,14.0,55.0,43.666666666666664
city_search_volume,0.00017983119577535186,0.213683996070265,0.00018080679316988534,2.0,128.0,3.0,44.333333333333336
amount_new_house_transactions_lag1,2.2511535714563647e-05,1.0888972512214208,1.482710496980566e-06,38.0,4.0,91.0,44.333333333333336
medical_health_specialty_hospital,3.765301589021703e-05,0.3634153648804772,1.0559968154388866e-05,20.0,64.0,50.0,44.666666666666664
num_new_house_transactions,2.3688235803034136e-05,1.0157341445509043,1.2562590375408967e-06,35.0,6.0,96.0,45.666666666666664
price_new_house_transactions_lag3_log1p,0.00014760570950980072,0.20891922078107505,0.00011767805347734361,3.0,132.0,4.0,46.333333333333336
shopping_centers_dense,2.9622161202931522e-05,0.29441185603285636,3.586462096182297e-05,27.0,96.0,17.0,46.666666666666664
num_new_house_transactions_roll3,6.1152380345400335e-06,0.6244072634557245,2.0759813225978974e-05,104.0,8.0,30.0,47.333333333333336
new_near_price_new_house_transactions_nearby_sectors_log1p,6.367467700637434e-05,0.2217234955106564,4.662871193990003e-05,12.0,127.0,9.0,49.333333333333336
leisure_entertainment_entertainment_venue_game_arcade_dense,4.7991331368004124e-05,0.2694189626611365,1.815220852287025e-05,15.0,104.0,34.0,51.0
new_near_total_price_per_unit_new_house_transactions_nearby_sectors,4.1772152139764666e-05,0.21303021738106498,6.500901436742312e-05,17.0,129.0,8.0,51.333333333333336
number_of_skincare_cosmetics_stores,2.0930861139173693e-05,0.2859971675783419,3.8125074753181386e-05,43.0,99.0,13.0,51.666666666666664
price_new_house_transactions_lag3,0.00012310431395401,0.18581308313163714,6.710898888608873e-05,6.0,145.0,7.0,52.666666666666664
home_appliance_stores_dense,1.9039919814205764e-05,0.35830841711639394,1.1448988044582275e-05,47.0,68.0,44.0,53.0
residential_commercial_dense,5.510625875573829e-05,0.18676804276132963,9.634053825962053e-05,14.0,143.0,5.0,54.0
price_new_house_transactions_lag1,0.00011481928457941979,0.1820242873477973,9.083113739831728e-05,7.0,149.0,6.0,54.0
area_new_house_transactions_lag3,1.0275797073006382e-05,0.3613742441565453,2.6131229199688465e-05,78.0,65.0,22.0,55.0
education_training_school_education_kindergarten_dense,1.7004021790025647e-05,0.3578070869697374,7.486692692804109e-06,50.0,69.0,54.0,57.666666666666664
num_new_house_transactions_lag1_log1p,3.536865195316766e-06,0.4743865574073336,2.6692879075218558e-05,138.0,17.0,20.0,58.333333333333336
education_training_school_education_middle_school_dense,1.3889186806727109e-05,0.33936935797545864,1.4679858765331844e-05,60.0,83.0,37.0,60.0
price_new_house_transactions_lag1_log1p,3.213624945491616e-05,0.18819582609324836,3.616950352884896e-05,24.0,142.0,16.0,60.666666666666664
