feature,rf_importance
amount_new_house_transactions_log1p,0.9968110526978099
city_search_volume,0.00017983119577535186
price_new_house_transactions_lag3_log1p,0.00014760570950980072
season,0.0001442519841689012
pre_area_pre_owned_house_transactions,0.00013524242006736215
price_new_house_transactions_lag3,0.00012310431395401
price_new_house_transactions_lag1,0.00011481928457941979
month_num,7.691187866549213e-05
new_near_area_per_unit_new_house_transactions_nearby_sectors_log1p,7.210548213232869e-05
area_per_unit_new_house_transactions,7.035740290844104e-05
department_stores_dense,6.64922897410231e-05
new_near_price_new_house_transactions_nearby_sectors_log1p,6.367467700637434e-05
medical_health_pharmaceutical_healthcare,5.9453509757889107e-05
residential_commercial_dense,5.510625875573829e-05
leisure_entertainment_entertainment_venue_game_arcade_dense,4.7991331368004124e-05
area_per_unit_new_house_transactions_log1p,4.665907994358102e-05
new_near_total_price_per_unit_new_house_transactions_nearby_sectors,4.1772152139764666e-05
retail,4.054202079055784e-05
price_new_house_transactions,3.9872607799009046e-05
medical_health_specialty_hospital,3.765301589021703e-05
pre_near_area_pre_owned_house_transactions_nearby_sectors_log1p,3.6117824341189066e-05
amount_new_house_transactions_lag3,3.409533965937713e-05
number_of_shops,3.236279879404558e-05
price_new_house_transactions_lag1_log1p,3.213624945491616e-05
pre_near_amount_pre_owned_house_transactions_nearby_sectors_log1p,3.1096690062631814e-05
number_of_department_stores,3.0526745179602044e-05
shopping_centers_dense,2.9622161202931522e-05
num_new_house_transactions_lag1,2.9513491481295122e-05
cityidx_gdp_population_ratio,2.7911743970825823e-05
transportation_facilities_service_bus_station_dense,2.575726747204438e-05
num_new_house_available_for_sale,2.5705314221960645e-05
land_num_land_transactions_log1p,2.5362307063292726e-05
new_near_total_price_per_unit_new_house_transactions_nearby_sectors_log1p,2.4577411961169153e-05
bus_station_cnt,2.3725891299270846e-05
num_new_house_transactions,2.3688235803034136e-05
supply_demand_ratio,2.2578275193491526e-05
hypermarkets_dense,2.2559332408977048e-05
amount_new_house_transactions_lag1,2.2511535714563647e-05
amount_new_house_transactions_lag3_log1p,2.2483874661696875e-05
other_stores_dense,2.1902998087647864e-05
surrounding_shop_average_rent,2.180300808872585e-05
supermarket_convenience_stores_dense,2.1365973509187796e-05
number_of_skincare_cosmetics_stores,2.0930861139173693e-05
retail_dense,1.9786217461341567e-05
cityidx_per_capita_disposable_income_index_previous_year_100,1.951981912243298e-05
cityidx_urban_consumer_price_index_previous_year_100,1.9209623163215242e-05
home_appliance_stores_dense,1.9039919814205764e-05
pre_price_pre_owned_house_transactions_log1p,1.8541962922694957e-05
pre_near_price_pre_owned_house_transactions_nearby_sectors,1.792457078528564e-05
education_training_school_education_kindergarten_dense,1.7004021790025647e-05
leisure_entertainment_entertainment_venue_game_arcade,1.6558527896020123e-05
leisure_entertainment_stores_dense,1.649947400580928e-05
education_training_school_education_middle_school,1.5957107291141764e-05
pre_near_num_pre_owned_house_transactions_nearby_sectors,1.5944906510972168e-05
pre_near_area_pre_owned_house_transactions_nearby_sectors,1.5821479942927807e-05
area_new_house_transactions_lag3_log1p,1.547261687647603e-05
catering,1.5008450089207081e-05
cityidx_urban_consumer_price_index_previous_year_100_log1p,1.4947942713256171e-05
number_of_shopping_centers,1.473687110250662e-05
education_training_school_education_middle_school_dense,1.3889186806727109e-05
number_of_jewelry_stores,1.3703293710775411e-05
surrounding_housing_average_price,1.3639008298120628e-05
num_new_house_transactions_log1p,1.3221287995820479e-05
cityidx_per_capita_housing_area_sqm,1.3066331339555555e-05
pre_near_num_pre_owned_house_transactions_nearby_sectors_log1p,1.2765423511519485e-05
medical_health_rehabilitation_institution_dense,1.2735178791439376e-05
area_new_house_transactions_lag1,1.271221557671547e-05
